NAME,RTG,TEAM,GP,COMP,ATT,ATT/G,YDS,300+ YDS,COMP%,YDS/ATT,YDS/COMP,TD,INT,QBR,LONG,SACKS,SACK YDS,FUML
"Patrick Mahomes",98,"KC","8","219","331","41.4","2,605","4","66.2%","7.9","11.9","21","6","105.3","57","16","111",0
"Josh Allen",97,"BUF","8","191","298","37.2","2,403","4","64.1%","8.1","12.6","19","8","97.2","98","16","74","2"
"Tom Brady",94,"TB","9","260","398","44.2","2,547","3","65.3%","6.4","9.8","10","1","90.1","51","14","107","2"
"Lamar Jackson",92,"BAL","9","160","257","28.6","1,768","1","62.3%","6.9","11.1","16","6","92.2","75","20","87","1"
"Aaron Rodgers",91,"GB","9","205","317","35.2","2,091",0,"64.7%","6.6","10.2","14","7","91.1","55","18","142","3"
"Joe Burrow",89,"CIN","9","233","333","37","2,535","3","70%","7.6","10.9","18","6","103.9","60","30","201","2"
"Dak Prescott",88,"DAL","3","54","81","27","591",0,"66.7%","7.3","10.9","3","2","34.4","30","5","37",0
"Justin Herbert",88,"LAC","8","233","351","43.9","2,254","2","66.4%","6.4","9.7","13","5","93","54","10","53","2"
"Kyler Murray",84,"ARI","9","240","360","40","2,168","2","66.7%","6","9","12","6","88.4","38","24","186","2"
"Kirk Cousins",82,"MIN","8","197","304","38","1,999",0,"64.8%","6.6","10.1","13","6","91.5","64","16","127","1"
"Derek Carr",81,"OAK","8","170","273","34.1","1,880","1","62.3%","6.9","11.1","11","5","88.4","60","17","113",0
"Jalen Hurts",81,"PHI","8","163","239","29.9","2,042","2","68.2%","8.5","12.5","12","2","106.2","54","22","127","1"
"Tua Tagovailoa",80,"MIA","7","151","216","30.9","1,980","3","69.9%","9.2","13.1","15","3","85.8","60","8","66",0
"Geno Smith",79,"SEA","9","207","283","31.4","2,199","2","73.1%","7.8","10.6","15","4","107.8","54","21","166","1"
"Matthew Stafford",78,"LAR","8","195","285","35.6","1,928","1","68.4%","6.8","9.9","8","8","86.5","75","28","199","3"
"Russell Wilson",78,"DEN","7","134","228","32.6","1,694","1","58.8%","7.4","12.6","6","4","74.3","67","23","149",0
"Ryan Tannehill",77,"TEN","6","95","146","24.3","1,097",0,"65.1%","7.5","11.5","6","3","67.8","61","14","110","1"
"Jimmy Garoppolo",76,"SF","7","140","210","30","1,691","1","66.7%","8.1","12.1","11","4","88.8","57","15","79","2"
"Jacoby Brissett",75,"CLE","8","163","255","31.9","1,862",0,"63.9%","7.3","11.4","7","5","90.6","55","16","93","3"
"Mac Jones",75,"NE","6","111","168","28","1,140","1","66.1%","6.8","10.3","4","7","46.1","44","15","86","1"
"Jared Goff",75,"DET","8","173","275","34.4","2,041","2","62.9%","7.4","11.8","14","7","90.4","81","13","102","3"
"Justin Fields",75,"CHI","9","110","187","20.8","1,322",0,"58.8%","7.1","12","10","6","81.8","56","33","196","1"
"Jameis Winston",74,"NO","3","73","115","38.3","858","1","63.5%","7.5","11.8","4","5","27","51","11","76",0
"Daniel Jones",74,"NYG","8","143","220","27.5","1,399",0,"65%","6.4","9.8","6","2","89.4","65","25","137","2"
